feature_set,model,accuracy,macro_f1,runtime_seconds
text_only,Logistic Regression,0.638030888030888,0.621641521542085,0.8833005428314209
text_only,Random Forest,0.6544401544401545,0.6210214789134282,2.934159517288208
text_only,SVC,0.6602316602316602,0.5838507953975464,9.829415082931519
categorical_only,Logistic Regression,0.6872586872586872,0.6821952244365918,0.21612000465393066
categorical_only,Random Forest,0.6747104247104247,0.6684040727681578,1.1338093280792236
categorical_only,SVC,0.6920849420849421,0.6769766671027914,0.8433387279510498
text_plus_categorical,Logistic Regression,0.7287644787644788,0.7199949141499387,2.439572334289551
text_plus_categorical,Random Forest,0.7287644787644788,0.7139401553933912,2.599266767501831
text_plus_categorical,SVC,0.7374517374517374,0.7151842275858243,9.96726679801941
