model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
Logistic Regression,0.7022922265198234,0.021110453215922167,0.6965398904244093,0.020647867765028985
Random Forest,0.7087298258694876,0.016596475420732268,0.694261876272093,0.016127195550272085
SVC,0.7177397724860328,0.013192436543423131,0.701725553054577,0.014490437594311414
